City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,pravia,43.4906,-6.1508,11.38,76,20,2.06,ES,1667676596
1,norman wells,65.282,-126.8329,-12.98,72,75,5.66,CA,1667676596
2,atuona,-9.8,-139.0333,25.18,71,67,6.15,PF,1667676597
3,busselton,-33.65,115.3333,10.45,83,0,4.8,AU,1667676597
4,butaritari,3.0707,172.7902,26.35,73,100,4.66,KI,1667676597
5,tiksi,71.6872,128.8694,-14.43,96,100,2.61,RU,1667676598
6,noumea,-22.2763,166.4572,25.56,99,100,2.78,NC,1667676023
7,vaini,-21.2,-175.2,24.09,83,40,3.6,TO,1667676598
8,umm lajj,25.0213,37.2685,24.75,57,100,3.59,SA,1667676599
9,dikson,73.5069,80.5464,-6.16,96,99,2.25,RU,1667676599
10,batagay-alyta,67.8006,130.4114,-20.92,99,100,0.99,RU,1667676600
11,bethel,41.3712,-73.414,24.8,62,40,6.69,US,1667676600
12,darhan,49.4867,105.9228,-2.91,65,0,1.26,MN,1667676600
13,ancud,-41.8697,-73.8203,12.17,82,99,5.27,CL,1667676601
14,nikolskoye,59.7035,30.7861,-0.05,79,100,3.96,RU,1667676601
15,avarua,-21.2078,-159.775,24.03,69,20,4.63,CK,1667676602
16,kamenka,51.3223,42.7678,1.19,81,100,3.05,RU,1667676602
17,albany,42.6001,-73.9662,23.62,64,98,1.34,US,1667676450
18,barrow,71.2906,-156.7887,-10.99,85,100,4.12,US,1667676369
19,fortuna,40.5982,-124.1573,13.14,92,100,0.45,US,1667676603
20,hermanus,-34.4187,19.2345,18.78,83,99,4.96,ZA,1667676604
21,severo-kurilsk,50.6789,156.125,2.85,71,27,4.69,RU,1667676604
22,longyearbyen,78.2186,15.6401,0.91,75,75,7.2,SJ,1667676604
23,bria,6.5423,21.9863,22.75,66,6,1.03,CF,1667676605
24,songjianghe,42.1859,127.479,-3.7,75,1,2.03,CN,1667676605
25,tura,25.5198,90.2201,18.66,88,0,1.38,IN,1667676606
26,starchiojd,45.3167,26.1833,14.05,91,100,3.43,RO,1667676606
27,georgetown,5.4112,100.3354,26.8,90,20,0.0,MY,1667676607
28,beringovskiy,63.05,179.3167,2.99,95,100,13.73,RU,1667676607
29,ilulissat,69.2167,-51.1,-4.99,86,75,1.54,GL,1667676608
30,povenets,62.8487,34.8262,-1.95,94,81,3.44,RU,1667676608
31,geraldton,-28.7667,114.6,18.23,88,0,5.14,AU,1667676609
32,bredasdorp,-34.5322,20.0403,16.5,92,100,1.89,ZA,1667676609
33,tuktoyaktuk,69.4541,-133.0374,-15.0,78,100,9.77,CA,1667676610
34,lompoc,34.6391,-120.4579,23.9,41,0,7.2,US,1667676610
35,arraial do cabo,-22.9661,-42.0278,23.92,57,20,5.66,BR,1667676610
36,nantucket,41.2835,-70.0995,21.06,82,0,5.66,US,1667676604
37,kyra,49.5776,111.9753,-6.13,79,15,1.89,RU,1667676611
38,las vegas,36.175,-115.1372,16.8,26,0,3.09,US,1667676183
39,alekseyevskaya,50.2896,42.1845,2.67,86,100,2.68,RU,1667676611
40,sur,22.5667,59.5289,26.2,64,94,3.83,OM,1667676612
41,yellowknife,62.456,-114.3525,-13.71,72,100,7.72,CA,1667676612
42,karratha,-20.7377,116.8463,23.25,45,6,5.68,AU,1667676612
43,traverse city,44.7631,-85.6206,18.04,80,100,7.2,US,1667676597
44,ushuaia,-54.8,-68.3,18.81,39,0,2.57,AR,1667676613
45,kurumkan,54.3,110.3,-5.8,86,52,1.53,RU,1667676613
46,cidreira,-30.1811,-50.2056,18.95,68,0,5.65,BR,1667676614
47,jamestown,42.097,-79.2353,25.77,57,20,5.66,US,1667676614
48,kodiak,57.79,-152.4072,-2.27,46,0,7.72,US,1667676615
49,remontnoye,46.5614,43.6501,4.49,74,99,3.33,RU,1667676615
50,pevek,69.7008,170.3133,-6.37,82,100,6.0,RU,1667676615
51,muroto,33.2833,134.15,16.36,69,79,5.52,JP,1667676616
52,robertsport,6.7533,-11.3686,26.74,82,68,4.09,LR,1667676616
53,punta arenas,-53.15,-70.9167,18.95,42,27,3.06,CL,1667676617
54,rikitea,-23.1203,-134.9692,21.49,73,98,7.48,PF,1667676617
55,bubaque,11.2833,-15.8333,28.71,60,100,3.31,GW,1667676618
56,isangel,-19.55,169.2667,25.06,83,14,2.06,VU,1667676618
57,pelotas,-31.7719,-52.3425,23.01,56,75,9.26,BR,1667676602
58,ostrovnoy,68.0531,39.5131,1.4,95,100,4.98,RU,1667676618
59,serafimovich,49.5786,42.736,3.12,88,100,2.72,RU,1667676619
60,hobart,-42.8794,147.3294,10.7,95,65,3.6,AU,1667676619
61,arman,59.7,150.1667,-4.99,95,100,3.04,RU,1667676619
62,bluff,-46.6,168.3333,9.8,68,100,4.96,NZ,1667676620
63,biak,-0.9131,122.8766,24.89,80,100,1.62,ID,1667676620
64,rio gallegos,-51.6226,-69.2181,22.03,14,0,12.35,AR,1667676621
65,massaguet,12.4755,15.4365,25.52,19,2,3.66,TD,1667676621
66,kapaa,22.0752,-159.319,26.99,81,0,8.23,US,1667676622
67,khatanga,71.9667,102.5,-29.92,100,91,2.43,RU,1667676622
68,wolgast,54.05,13.7667,7.07,84,28,5.21,DE,1667676623
69,ntungamo,-0.8833,29.65,18.21,99,100,1.06,UG,1667676623
70,zheleznodorozhnyy,55.7503,38.0042,1.23,77,100,0.78,RU,1667676623
71,morondava,-20.2833,44.2833,26.17,79,18,2.66,MG,1667676624
72,puerto ayora,-0.7393,-90.3518,26.98,70,100,5.43,EC,1667676624
73,talnakh,69.4865,88.3972,-4.33,96,100,4.55,RU,1667676625
74,dargaville,-35.9333,173.8833,15.1,68,100,2.04,NZ,1667676625
75,saint george,37.1041,-113.5841,13.3,33,20,0.89,US,1667676570
76,bereda,43.2686,-7.5406,11.99,100,100,1.31,ES,1667676625
77,cape town,-33.9258,18.4232,18.39,79,20,7.72,ZA,1667676622
78,oranjestad,12.524,-70.027,26.97,87,20,3.09,AW,1667676626
79,hasaki,35.7333,140.8333,10.12,59,98,7.97,JP,1667676626
80,gayny,60.3071,54.3241,-6.88,96,38,2.16,RU,1667676627
81,cherskiy,68.75,161.3,-7.69,91,100,4.83,RU,1667676627
82,berasia,23.6333,77.4333,21.26,44,3,0.83,IN,1667676628
83,beloha,-25.1667,45.05,24.54,67,100,3.98,MG,1667676628
84,hithadhoo,-0.6,73.0833,27.36,74,100,4.04,MV,1667676629
85,kutum,14.2,24.6667,22.1,21,0,2.58,SD,1667676629
86,aklavik,68.2191,-135.0107,-14.1,83,52,6.57,CA,1667676630
87,port alfred,-33.5906,26.891,16.77,91,31,1.39,ZA,1667676630
88,platanos,37.6667,21.6167,16.16,86,100,6.4,GR,1667676631
89,tomatlan,19.9333,-105.25,30.66,47,0,2.14,MX,1667676631
90,hunchun,42.8675,130.3581,-1.54,64,0,1.41,CN,1667676631
91,carnarvon,-24.8667,113.6333,18.43,76,0,8.03,AU,1667676632
92,iqaluit,63.7506,-68.5145,-8.15,73,100,1.03,CA,1667676632
93,araouane,18.9048,-3.5265,27.41,16,0,3.37,ML,1667676632
94,emsdetten,52.1833,7.5333,10.08,82,0,3.09,DE,1667676633
95,khani,41.9563,42.9566,7.76,91,96,0.69,GE,1667676633
96,varzea da palma,-17.5981,-44.7308,24.69,52,94,1.24,BR,1667676633
97,kulevcha,46.0303,29.9361,12.94,69,100,7.3,UA,1667676634
98,la romana,18.4273,-68.9728,24.2,94,75,3.09,DO,1667676634
99,bambous virieux,-20.3428,57.7575,23.45,83,40,3.09,MU,1667676635
100,namibe,-15.1961,12.1522,19.53,81,5,3.38,AO,1667676635
101,kavieng,-2.5744,150.7967,27.86,78,54,3.17,PG,1667676635
102,zapolyarnyy,69.4154,30.8136,2.6,91,100,7.61,RU,1667676362
103,kpandu,6.9954,0.2931,25.63,81,100,3.51,GH,1667676636
104,malanje,-9.5402,16.341,18.18,97,100,2.62,AO,1667676636
105,dekar,-21.5333,21.9333,29.22,30,91,1.53,BW,1667676637
106,hilo,19.7297,-155.09,27.01,92,100,3.09,US,1667676637
107,bestobe,52.4994,73.0975,-1.48,68,75,9.73,KZ,1667676637
108,lagoa,39.05,-27.9833,17.6,64,100,5.87,PT,1667676430
109,victoria,22.2855,114.1577,20.74,88,87,4.02,HK,1667676417
110,ginir,7.1333,40.7,13.37,79,8,2.49,ET,1667676638
111,salalah,17.0151,54.0924,28.05,78,75,1.54,OM,1667676638
112,agadez,19.75,10.25,21.45,19,100,2.94,NE,1667676638
113,ossora,59.2353,163.0719,-1.46,92,94,1.73,RU,1667676639
114,nisporeni,47.0814,28.1783,13.06,81,100,6.85,MD,1667676639
115,sitka,57.0531,-135.33,3.94,56,40,2.57,US,1667676640
116,mataura,-46.1927,168.8643,9.66,61,30,1.2,NZ,1667676640
117,keetmanshoop,-26.5833,18.1333,24.76,13,0,2.79,NA,1667676640
118,shenjiamen,29.9576,122.298,15.17,63,99,3.37,CN,1667676641
119,uthal,25.8072,66.6219,24.9,64,100,2.18,PK,1667676641
120,hervey bay,-25.2986,152.8535,19.29,76,68,5.56,AU,1667676614
121,gigmoto,13.7796,124.39,26.64,87,96,3.04,PH,1667676642
122,bandarbeyla,9.4942,50.8122,26.0,66,4,4.45,SO,1667676642
123,costinesti,43.95,28.6333,16.35,88,100,6.26,RO,1667676642
124,chuy,-33.6971,-53.4616,18.08,66,11,5.98,UY,1667676643
125,aksu,41.1231,80.2644,9.09,36,100,0.5,CN,1667676643
126,nanortalik,60.1432,-45.2371,1.51,89,100,3.23,GL,1667676644
